Process ID,Arrival,Burst,Priority,Start Time,Finish Time,Waiting Time,Turnaround Time,Response Time
P28,2,75,2,2,3373,3296,3371,0
P41,3,24,4,418,1763,1736,1760,415
P56,5,66,1,5,3510,3439,3505,0
P80,5,68,5,429,3885,3812,3880,424
P52,16,12,2,166,658,630,642,150
P24,17,96,2,174,4185,4072,4168,157
P9,18,71,2,182,3805,3716,3787,164
P74,18,25,1,18,1534,1491,1516,0
P94,21,5,4,457,462,436,441,436
P68,26,9,1,26,223,188,197,0
P99,27,71,1,34,3621,3523,3594,7
P29,33,22,4,478,1801,1746,1768,445
P45,33,98,4,486,4254,4123,4221,453
P61,35,42,4,502,3143,3066,3108,467
P63,37,59,3,231,3598,3502,3561,194
P73,41,96,4,534,4262,4125,4221,493
P35,44,22,3,255,1588,1522,1544,211
P86,49,75,5,558,4057,3933,4008,509
P34,51,97,1,51,4230,4082,4179,0
P53,52,30,4,580,2383,2301,2331,528
P12,59,22,2,271,1615,1534,1556,212
P37,60,32,2,279,2157,2065,2097,219
P89,60,33,5,596,2816,2723,2756,536
P1,62,24,1,62,1071,985,1009,0
P42,62,99,2,295,4244,4083,4182,233
P59,62,15,5,606,1298,1221,1236,544
P87,62,10,4,614,1300,1228,1238,552
P98,63,68,1,70,3673,3542,3610,7
P2,65,52,1,78,3077,2960,3012,13
P32,66,30,2,311,2211,2115,2145,245
P62,69,38,5,630,2830,2723,2761,561
P84,70,4,2,327,331,257,261,257
P92,70,73,1,86,3881,3738,3811,16
P96,73,15,5,646,1331,1243,1258,573
P100,75,70,4,658,3937,3792,3862,583
P54,79,62,3,339,3679,3538,3600,260
P26,80,65,2,347,3879,3734,3799,267
P97,80,57,5,682,3790,3653,3710,602
P17,82,20,5,706,1965,1863,1883,624
P20,87,65,2,371,3880,3728,3793,284
P82,89,20,3,379,1731,1622,1642,290
P31,93,45,5,738,3265,3127,3172,645
P36,93,62,1,94,3447,3292,3354,1
P60,93,18,4,746,1983,1872,1890,653
P38,94,21,1,102,1164,1049,1070,8
P57,95,33,5,754,2903,2775,2808,659
P49,96,50,1,110,3119,2973,3023,14
P79,96,91,1,118,4154,3967,4058,22
P22,98,29,4,778,2495,2368,2397,680
P46,99,7,3,395,402,296,303,296
P15,100,52,3,402,3441,3289,3341,302
P4,102,17,1,126,1205,1086,1103,24
P83,102,81,5,794,4186,4003,4084,692
P88,102,19,5,802,2034,1913,1932,700
P58,103,59,1,134,3498,3336,3395,31
P77,105,3,2,426,429,321,324,321
P95,108,49,4,818,3587,3430,3479,710
P64,109,4,3,437,441,328,332,328
P47,110,38,4,826,2941,2793,2831,716
P70,110,21,5,834,2063,1932,1953,724
P76,110,22,4,842,2069,1937,1959,732
P21,111,3,4,850,853,739,742,739
P50,111,58,1,142,3508,3339,3397,31
P91,112,19,1,150,1283,1152,1171,38
P81,113,33,4,853,2942,2796,2829,740
P67,115,89,4,862,4195,3991,4080,747
P16,120,35,1,190,2490,2335,2370,70
P66,122,60,1,198,3586,3404,3464,76
P69,123,3,5,878,881,755,758,755
P72,125,9,1,206,862,728,737,81
P25,126,46,3,470,3133,2961,3007,344
P8,136,32,1,223,2093,1925,1957,87
P78,136,62,3,510,3733,3535,3597,374
P23,138,70,2,518,3907,3699,3769,380
P75,139,90,1,239,4197,3968,4058,100
P71,140,8,5,897,905,757,765,757
P6,141,30,3,526,2345,2174,2204,385
P11,142,11,2,550,1256,1103,1114,408
P93,145,6,4,905,911,760,766,760
P55,151,6,2,574,580,423,429,423
P44,152,69,5,919,3990,3769,3838,767
P10,157,99,4,935,4265,4009,4108,778
P7,162,2,3,604,606,442,444,442
P33,164,98,5,951,4267,4005,4103,787
P65,166,16,1,303,1055,873,889,137
P14,171,83,2,638,4173,3919,4002,467
P48,177,84,2,666,4177,3916,4000,489
P19,178,13,4,967,1609,1418,1431,789
P13,179,78,3,674,4079,3822,3900,495
P39,182,45,3,698,3252,3025,3070,516
P27,185,8,1,355,363,170,178,170
P43,185,14,3,714,1393,1194,1208,529
P40,188,12,2,722,1397,1197,1209,534
P18,193,16,4,991,1631,1422,1438,798
P3,194,45,5,999,3366,3127,3172,805
P51,194,35,4,1007,3017,2788,2823,813
P30,198,24,3,770,2007,1785,1809,572
P85,199,56,4,1023,3653,3398,3454,824
P90,199,57,2,786,3806,3550,3607,587
P5,200,83,5,1031,4233,3950,4033,831
