Process ID,Arrival,Burst,Priority,Start Time,Finish Time,Waiting Time,Turnaround Time,Response Time
P1,94,71,1,105,778,613,684,11
P2,45,79,3,1150,2685,2561,2640,1105
P3,104,96,5,3462,4878,4678,4774,3358
P4,163,89,2,1326,2935,2683,2772,1163
P5,220,21,5,3961,3982,3741,3762,3741
P6,141,20,2,1278,1792,1631,1651,1137
P7,252,69,5,4078,4910,4589,4658,3826
P8,218,41,4,3897,4632,4373,4414,3679
P9,174,94,1,237,1020,752,846,63
P10,135,38,2,1262,2145,1972,2010,1127
P11,47,95,2,1166,2899,2757,2852,1119
P12,189,3,1,254,257,65,68,65
P13,108,63,4,3494,4443,4272,4335,3386
P14,3,87,2,1038,2852,2762,2849,1035
P15,151,36,4,3691,4527,4340,4376,3540
P16,288,73,1,385,1006,645,718,97
P17,44,9,1,48,73,20,29,4
P18,34,18,3,1102,1664,1612,1630,1068
P19,134,12,2,1250,1262,1116,1128,1116
P20,227,37,3,1418,2250,1986,2023,1191
P21,163,81,4,3755,4896,4652,4733,3592
P22,58,100,5,3232,4914,4756,4856,3174
P23,211,72,1,281,946,663,735,70
P24,279,93,2,1508,2975,2603,2696,1229
P25,285,2,2,1540,1542,1255,1257,1255
P26,228,89,1,305,1022,705,794,77
P27,91,5,5,3391,3396,3300,3305,3300
P28,145,91,2,1310,2926,2690,2781,1165
P29,297,52,3,1552,2606,2257,2309,1255
P30,99,31,4,3431,3462,3332,3363,3332
P31,227,73,4,3982,4905,4605,4678,3755
P32,98,83,4,3399,4846,4665,4748,3301
P33,89,31,5,3360,3391,3271,3302,3271
P34,248,40,5,4046,4704,4416,4456,3798
P35,23,23,5,3103,3126,3080,3103,3080
P36,111,4,2,1230,1234,1119,1123,1119
P37,276,19,4,4110,4129,3834,3853,3834
P38,60,34,2,1182,2138,2044,2078,1122
P39,84,25,2,1198,1752,1643,1668,1114
P40,50,28,4,3190,3218,3140,3168,3140
P41,46,83,1,56,717,588,671,10
P42,120,2,1,161,163,41,43,41
P43,126,33,2,1234,2139,1980,2013,1108
P44,60,62,4,3264,4287,4165,4227,3204
P45,194,56,5,3865,4623,4373,4429,3671
P46,42,35,4,3158,4225,4148,4183,3116
P47,151,58,4,3723,4553,4344,4402,3572
P48,53,14,4,3218,3232,3165,3179,3165
P49,298,71,2,1568,2845,2476,2547,1270
P50,140,2,1,195,197,55,57,55
P51,235,10,2,1450,1460,1215,1225,1215
P52,72,69,5,3328,4827,4686,4755,3256
P53,97,3,5,3396,3399,3299,3302,3299
P54,4,15,4,2997,3012,2993,3008,2993
P55,122,10,4,3617,3627,3495,3505,3495
P56,168,6,4,3787,3793,3619,3625,3619
P57,111,62,1,137,771,598,660,26
P58,189,94,2,1358,2949,2666,2760,1169
P59,251,14,1,337,455,190,204,86
P60,231,26,3,1434,1930,1673,1699,1203
P61,190,25,4,3840,3865,3650,3675,3650
P62,132,65,5,3627,4879,4682,4747,3495
P63,212,12,2,1374,1386,1162,1174,1162
P64,143,98,3,1294,2997,2756,2854,1151
P65,219,63,4,3929,4663,4381,4444,3710
P66,43,31,2,1134,1695,1621,1652,1091
P67,19,99,3,1054,2993,2875,2974,1035
P68,299,9,2,1584,1593,1285,1294,1285
P69,140,69,1,197,882,673,742,57
P70,87,20,2,1214,1756,1649,1669,1127
P71,225,41,3,1402,2245,1979,2020,1177
P72,174,15,4,3793,3808,3619,3634,3619
P73,119,83,1,153,957,755,838,34
P74,110,41,1,129,570,419,460,19
P75,252,51,1,345,869,566,617,93
P76,0,89,1,0,254,165,254,0
P77,25,46,2,1070,2088,2017,2063,1045
P78,16,96,4,3071,4768,4656,4752,3055
P79,4,27,4,3012,3039,3008,3035,3008
P80,291,10,3,1542,1552,1251,1261,1251
P81,65,61,5,3296,4316,4190,4251,3231
P82,208,18,1,273,489,263,281,65
P83,29,30,3,1086,1662,1603,1633,1057
P84,119,59,4,3558,4490,4312,4371,3439
P85,147,33,5,3659,4523,4343,4376,3512
P86,111,52,5,3526,4463,4300,4352,3415
P87,230,33,5,4014,4696,4433,4466,3784
P88,180,79,2,1342,2764,2505,2584,1162
P89,244,93,2,1460,2962,2625,2718,1216
P90,36,98,2,1118,2995,2861,2959,1082
P91,185,46,5,3808,4599,4368,4414,3623
P92,279,95,2,1524,2990,2616,2711,1245
P93,1,23,2,1022,1600,1576,1599,1021
P94,251,64,2,1476,2554,2239,2303,1225
P95,5,61,5,3039,4158,4092,4153,3034
P96,119,27,4,3590,3617,3471,3498,3471
P97,124,97,1,171,1021,800,897,47
P98,276,74,3,1492,2806,2456,2530,1216
P99,217,43,3,1386,2236,1976,2019,1169
P100,41,86,5,3126,4790,4663,4749,3085
