Process ID,Arrival,Burst,Priority,Start Time,Finish Time,Waiting Time,Turnaround Time,Response Time
P1,0,2,1,0,2,0,2,0
P2,2,4,2,2,6,0,4,0
P3,4,6,3,6,14,4,10,2
P4,6,8,4,30,38,24,32,24
P5,8,10,5,38,74,56,66,30
P6,10,2,1,10,12,0,2,0
P7,12,4,2,14,18,2,6,2
P8,14,6,3,18,26,6,12,4
P9,16,8,4,48,56,32,40,32
P10,18,10,5,56,132,104,114,38
P11,20,2,1,20,22,0,2,0
P12,22,4,2,26,30,4,8,4
P13,24,6,3,66,72,42,48,42
P14,26,8,4,74,82,48,56,48
P15,28,10,5,82,208,170,180,54
P16,30,2,1,46,48,16,18,16
P17,32,4,2,92,96,60,64,60
P18,34,6,3,96,102,62,68,62
P19,36,8,4,102,110,66,74,66
P20,38,10,5,110,284,236,246,72
P21,40,2,1,64,66,24,26,24
P22,42,4,2,120,124,78,82,78
P23,44,6,3,124,130,80,86,80
P24,46,8,4,132,140,86,94,86
P25,48,10,5,140,370,312,322,92
P26,50,2,1,90,92,40,42,40
P27,52,4,2,150,154,98,102,98
P28,54,6,3,154,160,100,106,100
P29,56,8,4,160,168,104,112,104
P30,58,10,5,168,448,380,390,110
P31,60,2,1,118,120,58,60,58
P32,62,4,2,178,182,116,120,116
P33,64,6,3,182,188,118,124,118
P34,66,8,4,188,196,122,130,122
P35,68,10,5,196,532,454,464,128
P36,70,2,1,148,150,78,80,78
P37,72,4,2,208,212,136,140,136
P38,74,6,3,212,218,138,144,138
P39,76,8,4,218,226,142,150,142
P40,78,10,5,226,576,488,498,148
P41,80,2,1,176,178,96,98,96
P42,82,4,2,236,240,154,158,154
P43,84,6,3,240,246,156,162,156
P44,86,8,4,246,254,160,168,160
P45,88,10,5,254,578,480,490,166
P46,90,2,1,204,206,114,116,114
P47,92,4,2,264,268,172,176,172
P48,94,6,3,268,274,174,180,174
P49,96,8,4,274,282,178,186,178
P50,98,10,5,284,580,472,482,186
P51,100,2,1,234,236,134,136,134
P52,102,4,2,294,298,192,196,192
P53,104,6,3,298,304,194,200,194
P54,106,8,4,304,312,198,206,198
P55,108,10,5,312,582,464,474,204
P56,110,2,1,262,264,152,154,152
P57,112,4,2,322,326,210,214,210
P58,114,6,3,326,332,212,218,212
P59,116,8,4,332,340,216,224,216
P60,118,10,5,340,584,456,466,222
P61,120,2,1,292,294,172,174,172
P62,122,4,2,350,354,228,232,228
P63,124,6,3,354,360,230,236,230
P64,126,8,4,360,368,234,242,234
P65,128,10,5,370,586,448,458,242
P66,130,2,1,320,322,190,192,190
P67,132,4,2,380,384,248,252,248
P68,134,6,3,384,390,250,256,250
P69,136,8,4,390,398,254,262,254
P70,138,10,5,398,588,440,450,260
P71,140,2,1,348,350,208,210,208
P72,142,4,2,408,412,266,270,266
P73,144,6,3,412,418,268,274,268
P74,146,8,4,418,426,272,280,272
P75,148,10,5,426,590,432,442,278
P76,150,2,1,378,380,228,230,228
P77,152,4,2,436,440,284,288,284
P78,154,6,3,440,446,286,292,286
P79,156,8,4,448,456,292,300,292
P80,158,10,5,456,592,424,434,298
P81,160,2,1,406,408,246,248,246
P82,162,4,2,466,470,304,308,304
P83,164,6,3,470,476,306,312,306
P84,166,8,4,476,484,310,318,310
P85,168,10,5,484,594,416,426,316
P86,170,2,1,434,436,264,266,264
P87,172,4,2,494,498,322,326,322
P88,174,6,3,498,504,324,330,324
P89,176,8,4,504,512,328,336,328
P90,178,10,5,512,596,408,418,334
P91,180,2,1,464,466,284,286,284
P92,182,4,2,520,524,338,342,338
P93,184,6,3,524,530,340,346,340
P94,186,8,4,532,540,346,354,346
P95,188,10,5,540,598,400,410,352
P96,190,2,1,492,494,302,304,302
P97,192,4,2,548,552,356,360,356
P98,194,6,3,552,558,358,364,358
P99,196,8,4,558,566,362,370,362
P100,198,10,5,566,600,392,402,368
