Time,Process
0,P7
1,P7
2,P7
3,P7
4,P7
5,P7
6,P7
7,P7
8,P7
9,P7
10,P7
11,P28
12,P28
13,P28
14,P28
15,P28
16,P28
17,P28
18,P28
19,P35
20,P35
21,P35
22,P35
23,P35
24,P35
25,P35
26,P35
27,P84
28,P84
29,P84
30,P84
31,P84
32,P84
33,P84
34,P84
35,P99
36,P99
37,P99
38,P99
39,P99
40,P99
41,P99
42,P7
43,P7
44,P7
45,P7
46,P7
47,P7
48,P7
49,P7
50,P7
51,P7
52,P7
53,P7
54,P67
55,P67
56,P67
57,P67
58,P67
59,P67
60,P67
61,P67
62,P67
63,P67
64,P67
65,P67
66,P67
67,P67
68,P67
69,P67
70,P6
71,P6
72,P6
73,P6
74,P16
75,P16
76,P16
77,P16
78,P16
79,P16
80,P16
81,P16
82,P40
83,P40
84,P40
85,P40
86,P40
87,P40
88,P40
89,P40
90,P60
91,P74
92,P74
93,P74
94,P74
95,P74
96,P74
97,P74
98,P74
99,P41
100,P41
101,P41
102,P41
103,P41
104,P41
105,P41
106,P41
107,P6
108,P6
109,P6
110,P6
111,P6
112,P6
113,P30
114,P30
115,P30
116,P30
117,P30
118,P30
119,P30
120,P30
121,P28
122,P28
123,P28
124,P28
125,P28
126,P28
127,P28
128,P28
129,P75
130,P75
131,P75
132,P75
133,P75
134,P75
135,P75
136,P75
137,P35
138,P35
139,P35
140,P35
141,P35
142,P35
143,P35
144,P35
145,P44
146,P44
147,P44
148,P44
149,P44
150,P44
151,P44
152,P44
153,P17
154,P17
155,P17
156,P17
157,P17
158,P17
159,P17
160,P17
161,P84
162,P84
163,P84
164,P84
165,P84
166,P84
167,P84
168,P84
169,P18
170,P18
171,P18
172,P18
173,P18
174,P18
175,P18
176,P18
177,P94
178,P94
179,P94
180,P94
181,P94
182,P94
183,P59
184,P59
185,P59
186,P59
187,P59
188,P59
189,P59
190,P59
191,P71
192,P71
193,P71
194,P71
195,P71
196,P71
197,P71
198,P71
199,P29
200,P29
201,P29
202,P29
203,P29
204,P29
205,P29
206,P29
207,P55
208,P55
209,P55
210,P55
211,P55
212,P55
213,P55
214,P55
215,P92
216,P92
217,P92
218,P92
219,P92
220,P92
221,P92
222,P92
223,P68
224,P68
225,P68
226,P68
227,P68
228,P68
229,P68
230,P68
231,P16
232,P16
233,P16
234,P16
235,P16
236,P16
237,P16
238,P16
239,P12
240,P12
241,P12
242,P12
243,P12
244,P12
245,P12
246,P12
247,P32
248,P32
249,P32
250,P32
251,P32
252,P32
253,P32
254,P32
255,P50
256,P50
257,P50
258,P50
259,P50
260,P50
261,P50
262,P50
263,P51
264,P51
265,P51
266,P51
267,P51
268,P51
269,P51
270,P51
271,P40
272,P40
273,P40
274,P40
275,P40
276,P40
277,P40
278,P40
279,P95
280,P95
281,P95
282,P95
283,P95
284,P95
285,P95
286,P95
287,P74
288,P74
289,P74
290,P74
291,P74
292,P74
293,P74
294,P74
295,P14
296,P14
297,P14
298,P14
299,P14
300,P14
301,P14
302,P14
303,P27
304,P27
305,P27
306,P27
307,P27
308,P27
309,P27
310,P27
311,P81
312,P81
313,P81
314,P81
315,P81
316,P81
317,P81
318,P81
319,P41
320,P41
321,P41
322,P41
323,P41
324,P41
325,P41
326,P41
327,P80
328,P80
329,P80
330,P80
331,P80
332,P80
333,P80
334,P80
335,P65
336,P65
337,P65
338,P65
339,P65
340,P65
341,P65
342,P65
343,P69
344,P69
345,P69
346,P69
347,P69
348,P69
349,P69
350,P69
351,P6
352,P6
353,P6
354,P6
355,P6
356,P6
357,P6
358,P6
359,P64
360,P64
361,P64
362,P64
363,P64
364,P64
365,P64
366,P64
367,P89
368,P89
369,P89
370,P89
371,P89
372,P89
373,P89
374,P89
375,P30
376,P30
377,P30
378,P30
379,P30
380,P30
381,P30
382,P30
383,P78
384,P78
385,P78
386,P78
387,P78
388,P78
389,P78
390,P78
391,P70
392,P70
393,P70
394,P70
395,P70
396,P70
397,P70
398,P70
399,P36
400,P36
401,P36
402,P36
403,P36
404,P36
405,P36
406,P36
407,P19
408,P19
409,P19
410,P19
411,P19
412,P19
413,P19
414,P19
415,P45
416,P45
417,P45
418,P45
419,P45
420,P45
421,P45
422,P45
423,P28
424,P28
425,P28
426,P28
427,P28
428,P28
429,P28
430,P28
431,P86
432,P86
433,P86
434,P86
435,P86
436,P86
437,P86
438,P86
439,P85
440,P85
441,P85
442,P85
443,P85
444,P85
445,P85
446,P85
447,P48
448,P48
449,P48
450,P48
451,P48
452,P48
453,P48
454,P48
455,P75
456,P75
457,P75
458,P75
459,P75
460,P75
461,P75
462,P75
463,P34
464,P34
465,P34
466,P34
467,P34
468,P34
469,P34
470,P34
471,P58
472,P35
473,P35
474,P35
475,P35
476,P35
477,P35
478,P35
479,P35
480,P1
481,P1
482,P1
483,P1
484,P1
485,P1
486,P1
487,P1
488,P9
489,P9
490,P9
491,P9
492,P9
493,P9
494,P9
495,P9
496,P44
497,P44
498,P44
499,P44
500,P44
501,P44
502,P44
503,P44
504,P79
505,P79
506,P79
507,P79
508,P79
509,P79
510,P79
511,P79
512,P87
513,P87
514,P87
515,P87
516,P87
517,P87
518,P87
519,P87
520,P82
521,P82
522,P82
523,P82
524,P82
525,P82
526,P82
527,P82
528,P33
529,P33
530,P33
531,P33
532,P33
533,P33
534,P33
535,P33
536,P17
537,P17
538,P17
539,P17
540,P17
541,P17
542,P17
543,P17
544,P5
545,P5
546,P5
547,P5
548,P5
549,P5
550,P5
551,P5
552,P52
553,P52
554,P52
555,P52
556,P52
557,P52
558,P52
559,P52
560,P84
561,P84
562,P84
563,P84
564,P84
565,P84
566,P84
567,P84
568,P8
569,P8
570,P8
571,P8
572,P8
573,P8
574,P8
575,P8
576,P67
577,P67
578,P67
579,P67
580,P67
581,P67
582,P67
583,P67
584,P72
585,P72
586,P72
587,P72
588,P72
589,P72
590,P72
591,P72
592,P23
593,P23
594,P23
595,P23
596,P23
597,P23
598,P23
599,P23
600,P11
601,P11
602,P11
603,P11
604,P11
605,P11
606,P11
607,P11
608,P25
609,P25
610,P25
611,P25
612,P25
613,P25
614,P25
615,P25
616,P18
617,P18
618,P18
619,P18
620,P18
621,P18
622,P18
623,P18
624,P13
625,P13
626,P13
627,P13
628,P13
629,P13
630,P13
631,P13
632,P91
633,P91
634,P91
635,P91
636,P91
637,P91
638,P91
639,P91
640,P56
641,P56
642,P56
643,P56
644,P56
645,P56
646,P56
647,P56
648,P49
649,P49
650,P49
651,P49
652,P49
653,P49
654,P49
655,P49
656,P61
657,P61
658,P61
659,P61
660,P61
661,P61
662,P61
663,P61
664,P59
665,P59
666,P59
667,P59
668,P59
669,P59
670,P59
671,P59
672,P2
673,P2
674,P2
675,P2
676,P2
677,P2
678,P2
679,P2
680,P71
681,P71
682,P71
683,P71
684,P71
685,P71
686,P71
687,P71
688,P54
689,P54
690,P54
691,P54
692,P54
693,P54
694,P54
695,P54
696,P22
697,P22
698,P22
699,P22
700,P22
701,P22
702,P22
703,P22
704,P29
705,P29
706,P29
707,P29
708,P29
709,P29
710,P29
711,P29
712,P47
713,P47
714,P47
715,P47
716,P47
717,P47
718,P47
719,P47
720,P55
721,P55
722,P55
723,P55
724,P55
725,P55
726,P55
727,P55
728,P57
729,P57
730,P57
731,P57
732,P57
733,P57
734,P57
735,P57
736,P10
737,P10
738,P10
739,P10
740,P10
741,P10
742,P10
743,P10
744,P92
745,P92
746,P92
747,P92
748,P92
749,P92
750,P92
751,P92
752,P42
753,P42
754,P42
755,P42
756,P42
757,P42
758,P42
759,P42
760,P15
761,P15
762,P15
763,P15
764,P15
765,P15
766,P15
767,P15
768,P38
769,P38
770,P38
771,P38
772,P38
773,P38
774,P38
775,P38
776,P68
777,P68
778,P68
779,P68
780,P68
781,P68
782,P68
783,P68
784,P16
785,P16
786,P16
787,P16
788,P16
789,P16
790,P16
791,P16
792,P53
793,P53
794,P53
795,P53
796,P53
797,P53
798,P53
799,P53
800,P39
801,P39
802,P39
803,P39
804,P39
805,P39
806,P39
807,P39
808,P12
809,P12
810,P12
811,P12
812,P12
813,P12
814,P12
815,P12
816,P93
817,P93
818,P93
819,P93
820,P93
821,P93
822,P93
823,P93
824,P24
825,P24
826,P24
827,P24
828,P24
829,P24
830,P24
831,P24
832,P20
833,P20
834,P20
835,P20
836,P20
837,P20
838,P20
839,P20
840,P32
841,P32
842,P32
843,P32
844,P32
845,P32
846,P32
847,P32
848,P98
849,P98
850,P98
851,P98
852,P98
853,P98
854,P98
855,P98
856,P50
857,P50
858,P50
859,P50
860,P50
861,P50
862,P50
863,P50
864,P90
865,P90
866,P90
867,P90
868,P90
869,P90
870,P90
871,P90
872,P37
873,P37
874,P37
875,P37
876,P37
877,P37
878,P37
879,P37
880,P51
881,P51
882,P51
883,P51
884,P51
885,P51
886,P51
887,P51
888,P77
889,P77
890,P77
891,P77
892,P77
893,P77
894,P77
895,P77
896,P40
897,P40
898,P40
899,P40
900,P40
901,P40
902,P40
903,P40
904,P26
905,P26
906,P26
907,P26
908,P26
909,P26
910,P26
911,P26
912,P95
913,P95
914,P95
915,P95
916,P95
917,P95
918,P95
919,P95
920,P62
921,P62
922,P62
923,P62
924,P62
925,P62
926,P62
927,P62
928,P73
929,P73
930,P73
931,P73
932,P73
933,P73
934,P73
935,P73
936,P4
937,P4
938,P4
939,P4
940,P4
941,P4
942,P4
943,P4
944,P74
945,P74
946,P74
947,P74
948,P74
949,P74
950,P74
951,P74
952,P31
953,P31
954,P63
955,P63
956,P63
957,P63
958,P63
959,P63
960,P63
961,P63
962,P14
963,P14
964,P14
965,P14
966,P14
967,P14
968,P14
969,P14
970,P96
971,P96
972,P96
973,P96
974,P96
975,P96
976,P96
977,P96
978,P100
979,P100
980,P100
981,P100
982,P100
983,P100
984,P100
985,P100
986,P97
987,P97
988,P97
989,P97
990,P97
991,P97
992,P97
993,P97
994,P27
995,P27
996,P27
997,P27
