Time,Process
0,P1
1,P1
2,P2
3,P2
4,P2
5,P2
6,P3
7,P3
8,P3
9,P3
10,P6
11,P6
12,P3
13,P3
14,P4
15,P4
16,P4
17,P4
18,P4
19,P4
20,P11
21,P11
22,P4
23,P4
24,P5
25,P5
26,P5
27,P5
28,P5
29,P5
30,P16
31,P16
32,P5
33,P5
34,P5
35,P5
36,P7
37,P7
38,P7
39,P7
40,P21
41,P21
42,P8
43,P8
44,P8
45,P8
46,P8
47,P8
48,P9
49,P9
50,P26
51,P26
52,P9
53,P9
54,P9
55,P9
56,P9
57,P9
58,P10
59,P10
60,P31
61,P31
62,P10
63,P10
64,P10
65,P10
66,P10
67,P10
68,P10
69,P10
70,P36
71,P36
72,P12
73,P12
74,P12
75,P12
76,P13
77,P13
78,P13
79,P13
80,P41
81,P41
82,P13
83,P13
84,P14
85,P14
86,P14
87,P14
88,P14
89,P14
90,P46
91,P46
92,P14
93,P14
94,P15
95,P15
96,P15
97,P15
98,P15
99,P15
100,P51
101,P51
102,P15
103,P15
104,P15
105,P15
106,P17
107,P17
108,P17
109,P17
110,P56
111,P56
112,P18
113,P18
114,P18
115,P18
116,P18
117,P18
118,P19
119,P19
120,P61
121,P61
122,P19
123,P19
124,P19
125,P19
126,P19
127,P19
128,P20
129,P20
130,P66
131,P66
132,P20
133,P20
134,P20
135,P20
136,P20
137,P20
138,P20
139,P20
140,P71
141,P71
142,P22
143,P22
144,P22
145,P22
146,P23
147,P23
148,P23
149,P23
150,P76
151,P76
152,P23
153,P23
154,P24
155,P24
156,P24
157,P24
158,P24
159,P24
160,P81
161,P81
162,P24
163,P24
164,P25
165,P25
166,P25
167,P25
168,P25
169,P25
170,P86
171,P86
172,P25
173,P25
174,P25
175,P25
176,P27
177,P27
178,P27
179,P27
180,P91
181,P91
182,P28
183,P28
184,P28
185,P28
186,P28
187,P28
188,P29
189,P29
190,P96
191,P96
192,P29
193,P29
194,P29
195,P29
196,P29
197,P29
198,P30
199,P30
200,P30
201,P30
202,P30
203,P30
204,P30
205,P30
206,P30
207,P30
208,P32
209,P32
210,P32
211,P32
212,P33
213,P33
